,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67
12,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
14,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,3.151103819,3.151103819,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.835993437,2.835993437,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
15,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,3.151103819,3.151103819,3.151103819,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.835993437,2.835993437,2.835993437,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
16,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,3.151103819,3.151103819,3.151103819,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.835993437,2.835993437,2.835993437,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
17,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
20,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.890662291,1.890662291,1.890662291,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22,0.001,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
23,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26,0.001,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001,0.001
27,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
28,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
29,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
30,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
31,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
32,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
33,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
34,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
35,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
36,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
37,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
38,0.001,0.001,0.001,0.001,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,2.205772673,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,2.520883055,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,0.945331146,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,1.575551909,0.001,0.001,0.001,0.001,0.001,0.001
