"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"11",-0.60996344355909,-0.620142381468109,-0.608778992331783,-0.607301238378491,-0.604824070788467,-0.614008402464921,-0.612468708135886,-0.597104474346609,-0.59796224735443,-0.616508848570284,-0.595616467786561,-0.614267896286739,-0.602680064448862,-0.616025949125128,-0.619803673453773,-0.643946772192738,-0.643404615137192,-0.622934886204657,-0.624226066858521,-0.605559273715062,-0.609660169376582,-0.599523025811505,-0.593357140431562,-0.598497125766696,-0.638047927916594,-0.630777803792339,-0.624563609715326,-0.604326802612543,-0.596879117876101,-0.59123559162139,-0.612215412842375,-0.610645083665746,-0.61000624975482,-0.614107798616102,-0.625837334294992,-0.610105969465823,-0.615665205889238,-0.600702086352015,-0.620997429805031,-0.624190100118592,-0.621106793223096,-0.617756292520694,-0.623176112302205,-0.622693959551095,-0.657306715422698,-0.656922580947479,-0.643183273519534,-0.658478460337591,-0.659157299925916,-0.65917474384031,-0.659124596942964,-0.632136764423996,-0.633411946343745,-0.629723531798212,-0.608144553577999,-0.616847258690536,-0.613570714258829,-0.634600140496599,-0.62143341837379,-0.615011121319441,-0.626985264394685,-0.624479194425578,-0.614556562335117,-0.613875310940926,-0.63151066689025
"12",-0.591516683485456,-0.601615833814701,-0.6136579628214,-0.611644556244582,-0.58225818463354,-0.614443909125497,-0.630168844834168,-0.617810071163382,-0.59240243149937,-0.596198043040035,-0.61329603555864,-0.59267838074155,-0.608666694542144,-0.630831116996327,-0.647509515855373,-0.640994746944824,-0.617480435408552,-0.617293133299217,-0.610891709265766,-0.618086215413215,-0.628963820372802,-0.640211953475143,-0.62871249044882,-0.642610140650704,-0.638093857727476,-0.639174900217069,-0.629167698456699,-0.621369638297534,-0.608031076930575,-0.628730224205127,-0.629986973104019,-0.609881820753664,-0.62287330232405,-0.609461468329048,-0.619266012367862,-0.622145778769702,-0.629719817731678,-0.620082589734462,-0.622802731109889,-0.640041650301827,-0.609899622893115,-0.622986328865201,-0.62271586216011,-0.644699768367396,-0.649417724254779,-0.634704295316695,-0.636647017299889,-0.653118906826859,-0.653007411218008,-0.655362753799066,-0.656239993535163,-0.64385008969833,-0.619073935026347,-0.615927649528531,-0.631497456775108,-0.632187025464924,-0.621986265953293,-0.628000998651111,-0.612593908743702,-0.625297310228076,-0.61910972743298,-0.610423864892381,-0.626143845997302,-0.625147411712076,-0.623945876161055
"13",-0.616222910515033,-0.607174365364596,-0.611295914494534,-0.621980672320176,-0.610808564107748,-0.593662714630284,-0.60755899239939,-0.630105949557013,-0.61129818284802,-0.612374275358492,-0.616447623337591,-0.598671005607194,-0.607241013282535,-0.611080551472848,-0.63400479700898,-0.635440584345878,-0.620186888373073,-0.623085118564469,-0.618126802139785,-0.618642162658919,-0.625871952540899,-0.622554012532805,-0.62334595357939,-0.634968373766929,-0.630965705934771,-0.637703808533392,-0.63998079181313,-0.61868462099701,-0.619893226965945,-0.625584750440242,-0.622523137996135,-0.610337033503099,-0.62022507308448,-0.606021389474459,-0.620349074927957,-0.627385645297479,-0.638485402664348,-0.636203272946213,-0.622506239566572,-0.631883899654138,-0.623036384689705,-0.638379525724513,-0.61120454697399,-0.614657009817622,-0.644459861570054,-0.655937747530509,-0.654440023948392,-0.639724509625666,-0.638299787751621,-0.654348039915436,-0.650655692199093,-0.636687458788844,-0.62492406082716,-0.607849613715328,-0.627414550786179,-0.601967864849982,-0.622816148176179,-0.622957648293237,-0.615598156248959,-0.616625024261081,-0.607298653953564,-0.618683975833065,-0.614917537127927,-0.608486931521783,-0.615214387297828
"14",-0.603751422595167,-0.606942464260429,-0.605981459076636,-0.608283746884344,-0.606611326483544,-0.601838710584499,-0.604397158943862,-0.623666065279046,-0.610116106072567,-0.595778000319936,-0.613625822248515,-0.618259145203691,-0.626543203765076,-0.646723901929822,-0.609755942643074,-0.612723270499753,-0.633734857532978,-0.634591247311443,-0.637749279258775,-0.652551342978208,-0.637870721600233,-0.615862541316012,-0.629023471721269,-0.628223446557855,-0.648409625583974,-0.636102379039437,-0.634931801544089,-0.642819458582071,-0.644631271093012,-0.62402603046444,-0.614953549382473,-0.630807768140705,-0.619571325363788,-0.630643879800746,-0.634474321909813,-0.614513832362203,-0.640685205913887,-0.641730121042338,-0.629750356311046,-0.635595765538609,-0.614447003633405,-0.61341308307888,-0.633329018261833,-0.623490070290091,-0.649330249752125,-0.655767780834029,-0.664942562953157,-0.646229001729258,-0.649436521944742,-0.639117738536066,-0.643609913377221,-0.642571375701946,-0.634184324267431,-0.645259935663578,-0.629864844013149,-0.62261630483241,-0.626342187051784,-0.602136368906298,-0.600879211098329,-0.59533862362469,-0.602708832145371,-0.611642810266661,-0.609773605543743,-0.617830880620237,-0.616548125502776
"15",-0.611559000087767,-0.591885727922534,-0.601137526777236,-0.617392638322758,-0.604438024987994,-0.608115064986571,-0.59636260474706,-0.610025492604787,-0.617572413874906,-0.620542799188085,-0.633747414768383,-0.613659676678189,-0.610490732728181,-0.616157176714823,-0.632366688321825,-0.62151758047235,-0.611426379734398,-0.629455282742135,-0.637887563856576,-0.627601539276345,-0.657064524807795,-0.63060126251366,-0.617812525390904,-0.624236852721917,-0.637565801293527,-0.631457029203891,-0.628295243179313,-0.631618283804523,-0.621399575616894,-0.63431768351047,-0.623657823908426,-0.631830147209048,-0.620366582919105,-0.608337558745338,-0.627965951864677,-0.615559108053006,-0.630716453963531,-0.622125009209862,-0.614161565944566,-0.631103727247788,-0.6160414287263,-0.605256814998683,-0.621100409411337,-0.622247455678211,-0.637568322274441,-0.635530591012534,-0.666990105049412,-0.645757644956765,-0.629484219583631,-0.625265878894973,-0.650375350027145,-0.622958120217903,-0.65561613565548,-0.648518278044917,-0.632677901042306,-0.63131337759625,-0.606744835702714,-0.612176592729888,-0.606537577741531,-0.624009517972489,-0.635833468601207,-0.633116059131069,-0.613917167661196,-0.619701436821413,-0.614278476333374
"16",-0.620627280913882,-0.617790077624069,-0.599932799485245,-0.60577905425815,-0.615947394080922,-0.59918691190636,-0.613313610163875,-0.617638288705973,-0.632139477945867,-0.640632704631725,-0.6486895471425,-0.632500294739214,-0.626466932222041,-0.608062975258934,-0.63350945420309,-0.637241355827824,-0.64261724090428,-0.654701665037775,-0.635896642260804,-0.647626347953885,-0.631477424930252,-0.638016542280623,-0.629465344795452,-0.628780975815682,-0.623558243915263,-0.637518282529912,-0.630978099431949,-0.640653363710165,-0.613429241919575,-0.607621844343174,-0.630557844497587,-0.642876518976178,-0.64137986645118,-0.625047915219545,-0.636095573045346,-0.611801680023604,-0.630694414300595,-0.617949450449825,-0.618457664238047,-0.624293772211924,-0.59992428325109,-0.625509219329098,-0.634621870351696,-0.636026752401194,-0.651648199023237,-0.638717894450137,-0.659672045072328,-0.650857234559419,-0.639771550601148,-0.628963400006934,-0.62745005061647,-0.633155226935573,-0.636164311633224,-0.637627768637263,-0.649838671117391,-0.616793206945115,-0.598861770989354,-0.596201063196661,-0.615114077152736,-0.618972540520139,-0.59643010855784,-0.593321236239491,-0.597761483386769,-0.61696541690942,-0.625973445053614
"17",-0.598110854180299,-0.619428749894026,-0.611419201739846,-0.623879705506655,-0.62182475627121,-0.622398362958849,-0.601846561924852,-0.634604896975762,-0.640941953862166,-0.657428015027011,-0.642157710368917,-0.637276079481123,-0.617647919746632,-0.640490583351867,-0.629204407810268,-0.640700617712789,-0.631921855337909,-0.651025024789934,-0.64961341227005,-0.64278362003954,-0.641270092600929,-0.62130878313445,-0.638535931615583,-0.634670931779826,-0.626340024697338,-0.64484209220297,-0.648785267552247,-0.63131228509264,-0.619027766768537,-0.628033684562234,-0.624198075039361,-0.644592478356421,-0.631833718258379,-0.654556476612358,-0.625319839820362,-0.605625972826589,-0.614841725503967,-0.616948061285432,-0.620462941988517,-0.608376093459761,-0.621518000719773,-0.621251394938208,-0.62037441691526,-0.639279448459654,-0.634985835942028,-0.644701521699395,-0.637961638167021,-0.652245028434988,-0.641524838891879,-0.642100476197095,-0.633153537441336,-0.635695952809082,-0.611799406688309,-0.618872950279532,-0.612013602393134,-0.616752046703626,-0.61160740093088,-0.622883084556893,-0.61313110564789,-0.608449781809769,-0.616006890508292,-0.621618013545151,-0.630354094945324,-0.629805357946778,-0.619655906284999
"18",-0.616751990235752,-0.607020934535903,-0.596084946498172,-0.593157510890707,-0.617985547052697,-0.611825584483822,-0.594459819456976,-0.617906366233298,-0.638021521322053,-0.651825546086436,-0.632605537018265,-0.613055075306526,-0.612408920015947,-0.621607877867749,-0.63243381504936,-0.637367659378604,-0.648581518956812,-0.639698535567794,-0.641633736029766,-0.63582863546884,-0.64449836107649,-0.642774075509043,-0.640175116774809,-0.636986743957194,-0.63195618717447,-0.642983457924197,-0.643938150486683,-0.627272538312818,-0.632281264308232,-0.630974894313562,-0.62041644596326,-0.632173676467497,-0.641939997271615,-0.633268580119669,-0.630188938132708,-0.618898194388782,-0.631984585892755,-0.61980949374657,-0.614447586029406,-0.606469801925366,-0.623615048698342,-0.610916855407077,-0.639622811569658,-0.640849599267448,-0.627227726323622,-0.620406274694948,-0.651913259258343,-0.662355780295946,-0.648428127253669,-0.628382572906366,-0.632141850086874,-0.644437078852762,-0.6285659977575,-0.629774820095701,-0.617663751779979,-0.624218415722412,-0.629233729543766,-0.611734886911935,-0.612639070682222,-0.608474641518107,-0.604137341182078,-0.612196409249286,-0.614297746461783,-0.611371147814326,-0.602507563542859
"19",-0.622674152987057,-0.628319106003832,-0.638447109958589,-0.610866198792458,-0.620694672119831,-0.63252567766657,-0.634163805493321,-0.628928376596565,-0.648565838295902,-0.653921580748605,-0.608294730241514,-0.608781798135767,-0.615686413303561,-0.644570285218216,-0.645416746743681,-0.63615122910884,-0.632760038786359,-0.649274757522465,-0.639961510152956,-0.643479351341488,-0.620652013461974,-0.638004798650509,-0.646069730748894,-0.639353304050763,-0.644682245147428,-0.637657016359787,-0.646872060776042,-0.617002893252566,-0.633686867352664,-0.617041028213246,-0.627640089961234,-0.635788780045558,-0.644653196978548,-0.65598694105943,-0.63283769014147,-0.614393079045557,-0.608912937304806,-0.608151418364659,-0.605554573665893,-0.607699469171197,-0.609031178161733,-0.616516683717297,-0.647207042867471,-0.626636324098181,-0.635396953639074,-0.64185081441661,-0.631161491166358,-0.643665190549089,-0.645289260952016,-0.633450211015525,-0.647919802732551,-0.627975587658449,-0.621691172127922,-0.580108410267928,-0.595039993574049,-0.614250304835281,-0.630545318324951,-0.626999106450179,-0.618753275637878,-0.607836776445936,-0.612423434419191,-0.607093078656573,-0.605033906054799,-0.61151144618314,-0.610735091529411
"20",-0.602823956174811,-0.6061473111366,-0.606838745550993,-0.614232336118288,-0.602736971208689,-0.612473227465687,-0.622887152859311,-0.633088140865826,-0.643837720866861,-0.654223562257396,-0.631665192518897,-0.616458084815,-0.642079321753589,-0.636528198428581,-0.650973557374773,-0.645385265902678,-0.651669783986854,-0.64478385300482,-0.648828176095918,-0.647747478327724,-0.640081155161836,-0.62525020368525,-0.643090407630819,-0.646287560817347,-0.638803290627666,-0.652694413997134,-0.650673396690109,-0.624101206247958,-0.624534470513276,-0.635370558118691,-0.638817208401211,-0.645138331906448,-0.651756347271739,-0.648299360371528,-0.644340279229632,-0.617353587760916,-0.605293677343687,-0.582323623514661,-0.605114396649913,-0.615113101731327,-0.602766024885273,-0.624999184387304,-0.623005694984006,-0.618787405103224,-0.641369527078091,-0.630195811908329,-0.642206794095283,-0.636385648396317,-0.640904499613935,-0.645465516023017,-0.620497340734757,-0.626165567795693,-0.612409965539161,-0.590268952152323,-0.602412733816084,-0.595627521558255,-0.626361206560985,-0.614490071773842,-0.603231688956318,-0.588392778012118,-0.61261220947683,-0.625673372763332,-0.622548779073095,-0.610336865258645,-0.598423264876943
