"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"11",-0.488773619436049,-0.489999939335975,-0.485640183595897,-0.474773116782639,-0.480723029257036,-0.473354955510824,-0.477757438693253,-0.472737008995186,-0.482927312153005,-0.480619549865918,-0.474882834007376,-0.484164215428042,-0.475383633664509,-0.465394378395958,-0.456544422309516,-0.467049751043217,-0.469201646969944,-0.461424511923402,-0.465161590998362,-0.468165054880985,-0.466671968137085,-0.467111635076366,-0.458626457377268,-0.468021624327253,-0.468774974820464,-0.465796590541718,-0.471140710636958,-0.462827693282834,-0.464261343143048,-0.457106942661907,-0.439776601152012,-0.453120072869665,-0.457352647145577,-0.455674737882076,-0.447159877175336,-0.456710203540034,-0.454922165043776,-0.458021231120894,-0.460929684411518,-0.460861176823139,-0.454928040923212,-0.461823747625918,-0.455635515429396,-0.460946139646905,-0.461993152732205,-0.466693033098722,-0.465478713927083,-0.460537125814512,-0.456786572153925,-0.459285451773769,-0.461759614754717,-0.472812595224767,-0.479173300338519,-0.475215991674012,-0.488946900767327,-0.492305022713949,-0.491047346540788,-0.49232858916585,-0.492724359548544,-0.49136803698872,-0.487538482624943,-0.488004390750348,-0.488786157199659,-0.485179073431653
"12",-0.49184126997092,-0.487412562486714,-0.485126910264701,-0.475791450412662,-0.475440062296166,-0.478084151028806,-0.478224979695906,-0.470350751925295,-0.473644770753105,-0.479853405628768,-0.479396282091818,-0.475750309752331,-0.463925805520071,-0.458448947453893,-0.453724544057812,-0.453299882572224,-0.459544699022396,-0.462080440895365,-0.462725238341908,-0.462276574600383,-0.464273605850191,-0.467305612816135,-0.460181115140487,-0.464683282853553,-0.464957625467892,-0.466269570932912,-0.467817970902261,-0.458735368511906,-0.464078026070468,-0.460056571880199,-0.45907386988778,-0.461853569124643,-0.454729984293684,-0.459662894799759,-0.46147088963731,-0.453703190682589,-0.455357524084931,-0.453918552593772,-0.462454600657697,-0.459961099704052,-0.462898563919306,-0.458907546083497,-0.459369505803736,-0.457568004270199,-0.456670399095977,-0.461656675332552,-0.46513200624594,-0.461138781603214,-0.455565972694786,-0.45865112013416,-0.446463573669529,-0.462213278198125,-0.475917347201207,-0.478725806092083,-0.490506286337209,-0.485988045166406,-0.490096290672513,-0.492527927632607,-0.492815021270327,-0.494466435582736,-0.489360441946757,-0.493498218392266,-0.491060469401395,-0.479697304692217
"13",-0.482863890842979,-0.487358281028752,-0.483096788403983,-0.481081902977055,-0.471906612694467,-0.473280288214711,-0.482249480694003,-0.472424251050152,-0.473011702074554,-0.47578025816996,-0.469163743231673,-0.456985167375311,-0.463395464883023,-0.455403702290905,-0.457080865325521,-0.451331908789223,-0.453344242854929,-0.45901339119703,-0.467769685501561,-0.466411386508858,-0.462958029298346,-0.46426737582707,-0.461294127476632,-0.460738027416885,-0.464225679617351,-0.459106574014302,-0.45443578369023,-0.453544225105867,-0.454309489428578,-0.457962990002103,-0.465300071163364,-0.460211280315821,-0.451177570447036,-0.461894989113698,-0.458261761221206,-0.459494753174801,-0.467962669266225,-0.459964620623001,-0.463762107049354,-0.459494399663235,-0.462357969128496,-0.465837886512575,-0.45033140200267,-0.459119167887874,-0.465792661012617,-0.465384096458269,-0.463676662886771,-0.464737592275122,-0.457852329337202,-0.458420351781204,-0.453266527857378,-0.460462366888294,-0.47077757531359,-0.483555851349063,-0.482348791376732,-0.48110969595703,-0.487033100928052,-0.487827866870465,-0.492592982309568,-0.492228980674155,-0.491931012315193,-0.497372036740891,-0.493613313360937,-0.488978436382805
"14",-0.480619321091419,-0.484312331305296,-0.482428899657423,-0.469648437763735,-0.472181043461933,-0.464788717056265,-0.478466937955445,-0.482055176983367,-0.476566465413359,-0.47876329850847,-0.466531513349322,-0.451775031955911,-0.447609263430829,-0.449374300291608,-0.45131435069149,-0.452580061085426,-0.444451652111874,-0.437516921125548,-0.460690400388117,-0.459973259001732,-0.463231498959261,-0.464111725179941,-0.454864679635463,-0.457119734490827,-0.461606878915695,-0.454835161548151,-0.440474996191513,-0.436099067164682,-0.45053153596731,-0.442963140531693,-0.456571075203908,-0.46256845594087,-0.455834817130132,-0.464758462419136,-0.454078896303424,-0.45595034697944,-0.466567247404863,-0.458733707958166,-0.459494176188652,-0.458832295879308,-0.462429453841727,-0.452943772242981,-0.453519510943108,-0.46107764307333,-0.461049017514456,-0.461778299564647,-0.464291494674439,-0.46366256127846,-0.458889123111002,-0.461821248343354,-0.460909982742253,-0.458687747032438,-0.463017601851436,-0.480365946680324,-0.481328496705387,-0.487336929770523,-0.487523645782981,-0.488665541799878,-0.490828568827482,-0.490702194794765,-0.491130774785754,-0.496097798102461,-0.492732702361273,-0.48794573230093
"15",-0.481469930862582,-0.481811837629781,-0.481873007868976,-0.474917115175931,-0.47362676198071,-0.476103733826417,-0.482692524438871,-0.488936502264532,-0.478509989189427,-0.470225242032076,-0.461428709236872,-0.459548485197592,-0.463476989234478,-0.458999813584083,-0.454979229342236,-0.454189539434898,-0.450479122799115,-0.434825502028588,-0.447692849306319,-0.45488082429023,-0.454046724811604,-0.447720062834514,-0.458261357753385,-0.457296316772157,-0.462071369956503,-0.447165307480308,-0.452221680431531,-0.454006133125312,-0.453152313538084,-0.452985022718089,-0.449842786532291,-0.458569126590411,-0.450752657527906,-0.466117544895396,-0.456139909626775,-0.461667966000431,-0.46739692946476,-0.461763255510023,-0.454080902780602,-0.459467653793177,-0.455733366046744,-0.4512887359025,-0.461213789544984,-0.459828100240969,-0.458489337716996,-0.46420732299532,-0.454416713882774,-0.466211807731868,-0.463861420000605,-0.456567923990815,-0.450324725751692,-0.457853842503536,-0.451981380824847,-0.461838586837824,-0.47588796534676,-0.477317592924527,-0.48409850746188,-0.483642625852167,-0.487726303009805,-0.491292135472773,-0.494205127102792,-0.495301013725201,-0.494885777798558,-0.490419969743091
"16",-0.478244153818457,-0.484105065271924,-0.484560108705199,-0.479926749663755,-0.473294402398986,-0.468894795093784,-0.480327634390628,-0.47767237276531,-0.467735835349969,-0.465969095911441,-0.459923358431212,-0.455491207994323,-0.453639407615518,-0.453706651638278,-0.457212821952389,-0.45731318862817,-0.44305989017444,-0.445337609850617,-0.456945118041698,-0.448382738263512,-0.457673549764906,-0.448649342190234,-0.459566303571316,-0.45573691448205,-0.465296749467439,-0.456714722820885,-0.465430033141723,-0.464479751463368,-0.460658015708093,-0.462263707689078,-0.458059150893009,-0.460501988906213,-0.452117475215298,-0.463278038389165,-0.462185205237753,-0.458640652456268,-0.461337119562753,-0.463128619022942,-0.465311839651739,-0.466119189093669,-0.452590356170992,-0.458892097481,-0.457923814474981,-0.452254908299561,-0.460198841470349,-0.454120815357483,-0.457453515272968,-0.46392714954421,-0.457806479667229,-0.454459030321051,-0.455565454041223,-0.455688412507052,-0.458729245937948,-0.460163629264394,-0.460966551584729,-0.471894249964124,-0.473212243383041,-0.479975174581166,-0.488578299509158,-0.492243225477116,-0.495992847459888,-0.498535769114863,-0.494552582153865,-0.489673028500113
"17",-0.483781115306866,-0.477794561206369,-0.4811801020391,-0.473404972142632,-0.478194263789884,-0.469769133961846,-0.473297819024038,-0.470131626727325,-0.451528688394456,-0.463809090706492,-0.463994370827508,-0.4628814789938,-0.459819823019513,-0.457232460862692,-0.459585657729846,-0.453932142579497,-0.450629649709163,-0.453628394584623,-0.456997694725997,-0.446378772903265,-0.459385215462648,-0.456477017503901,-0.462241911330114,-0.457038024012543,-0.465993632228011,-0.453320017309952,-0.453334543554582,-0.458497367501375,-0.460102396966012,-0.456144857452771,-0.457139087709012,-0.458833062672047,-0.447468647979341,-0.460055013779362,-0.458028250012843,-0.462154547751413,-0.462562408673768,-0.466323293515461,-0.468797295308772,-0.469313988618863,-0.457447638709997,-0.459252633697056,-0.460901088236305,-0.457873277027476,-0.462133399497208,-0.459258959740445,-0.464553519070163,-0.453576497551438,-0.45494665983739,-0.464559684255277,-0.453309941729564,-0.449582348831331,-0.459431148247844,-0.457893549571918,-0.456855481450287,-0.472448515316695,-0.480666285872158,-0.484859163109939,-0.487539835329376,-0.493994578342063,-0.495904480567589,-0.493837366597824,-0.492936857718638,-0.493841071533281
"18",-0.484669242493808,-0.482089466738162,-0.47986156889696,-0.474533201160927,-0.468687969263155,-0.464498582176094,-0.458065423631249,-0.459563123460349,-0.459634282353189,-0.449976253097834,-0.456684514652332,-0.461942214007912,-0.454656237817086,-0.454742931208239,-0.462653013112402,-0.462231284951705,-0.463055541074371,-0.451711492407583,-0.45544123011753,-0.453266147144354,-0.445734246765815,-0.442024598106667,-0.454939690494067,-0.452043295824338,-0.451197083273427,-0.449743128448729,-0.453209232834976,-0.455915955238177,-0.455693726598158,-0.464663200599534,-0.463002619582161,-0.459222630484997,-0.451496727052096,-0.453421288272524,-0.458248644238283,-0.456774265219759,-0.453261063603537,-0.453577730305602,-0.460102292029222,-0.461416454041412,-0.463731747860166,-0.464965336810115,-0.453850729982165,-0.450048609447145,-0.458949295188121,-0.462434464993791,-0.449603167054502,-0.451167713270887,-0.455385492089616,-0.454480972506859,-0.460079530705655,-0.462766062120033,-0.4643357042455,-0.458652599391057,-0.457707476463009,-0.464059726552636,-0.479544210171095,-0.486114400244621,-0.48404116826277,-0.482884360267705,-0.491940639651077,-0.495792202133396,-0.496558386800766,-0.493306512816286
"19",-0.487595149414094,-0.486422902116092,-0.484425008941042,-0.478545391789182,-0.479784852608249,-0.475679643126424,-0.464922884456785,-0.467508080092767,-0.465596040352866,-0.462995347429991,-0.456529457647379,-0.461684881829425,-0.451552341548316,-0.447784844652843,-0.451123031474758,-0.454849614771597,-0.4487296960991,-0.443013919982393,-0.455759703959162,-0.450124828075656,-0.446523245471126,-0.450251765956524,-0.450662237242124,-0.449316821366667,-0.44522418173868,-0.447218087971621,-0.450882025413912,-0.448738491505596,-0.456635019422644,-0.458988228973956,-0.461397541768833,-0.448682610651626,-0.46766057238701,-0.455754337390796,-0.459144651588138,-0.464201897480062,-0.459285979297185,-0.45313048803939,-0.459203502390627,-0.449773306141628,-0.460144328606097,-0.462199239090227,-0.457234745579087,-0.461497772275518,-0.462529252621623,-0.46143975156871,-0.461412825394925,-0.464938538435447,-0.45982658018977,-0.45750800929664,-0.456747489672767,-0.463406387048176,-0.463829725822896,-0.460873065450213,-0.46384748679766,-0.459371833443777,-0.469143812628424,-0.486242005993843,-0.481901001630555,-0.478211384476016,-0.485132778407684,-0.495025355922883,-0.497313757471706,-0.492031495650162
"20",-0.483233439040548,-0.488830770063543,-0.490071192910525,-0.482588833047724,-0.471307202482393,-0.468061896580023,-0.46337654614394,-0.465575201062686,-0.457849512928841,-0.463813652474131,-0.464009389761963,-0.458937244540322,-0.46208316683107,-0.460947981248123,-0.461559973402105,-0.45356398811057,-0.451221790037738,-0.447813372365865,-0.447031286894689,-0.458180299930244,-0.450477202122332,-0.446844325638533,-0.446194527754499,-0.446154125100756,-0.442276185119603,-0.442869424433406,-0.439221703132552,-0.448849515768806,-0.454412650666452,-0.457404531212901,-0.451191389110418,-0.455218932920153,-0.469782199892919,-0.460916904962547,-0.461587707140855,-0.460707908502909,-0.458672252846616,-0.461902145015721,-0.466657258303498,-0.460358170767957,-0.458289485322555,-0.459838755367702,-0.463451277127332,-0.465501834570677,-0.457653372665233,-0.466008258460354,-0.465650153941065,-0.461802444563638,-0.464994534792965,-0.46250852585469,-0.453011517748264,-0.46683376935729,-0.464335755167465,-0.45999667101861,-0.465836049120676,-0.463626395742781,-0.465656435186774,-0.478297882017586,-0.484829134504053,-0.487310843397845,-0.493660795207021,-0.494887140752247,-0.491658304695019,-0.494595151711299
